shapeName,year,loss_km2
Matale District,2001,4.6
Matale District,2002,4.6
Matale District,2003,4.6
Matale District,2004,4.6
Matale District,2005,4.6
Matale District,2006,4.6
Matale District,2007,4.6
Matale District,2008,4.6
Matale District,2009,4.6
Matale District,2010,4.6
Matale District,2011,4.6
Matale District,2012,4.6
Matale District,2013,4.6
Matale District,2014,4.6
Matale District,2015,4.6
Matale District,2016,4.6
Matale District,2017,4.6
Matale District,2018,4.6
Matale District,2019,4.6
Matale District,2020,4.6
Kandy District,2001,2.19
Kandy District,2002,2.19
Kandy District,2003,2.19
Kandy District,2004,2.19
Kandy District,2005,2.19
Kandy District,2006,2.19
Kandy District,2007,2.19
Kandy District,2008,2.19
Kandy District,2009,2.19
Kandy District,2010,2.19
Kandy District,2011,2.19
Kandy District,2012,2.19
Kandy District,2013,2.19
Kandy District,2014,2.19
Kandy District,2015,2.19
Kandy District,2016,2.19
Kandy District,2017,2.19
Kandy District,2018,2.19
Kandy District,2019,2.19
Kandy District,2020,2.19
Nuwara Eliya District,2001,3.77
Nuwara Eliya District,2002,3.77
Nuwara Eliya District,2003,3.77
Nuwara Eliya District,2004,3.77
Nuwara Eliya District,2005,3.77
Nuwara Eliya District,2006,3.77
Nuwara Eliya District,2007,3.77
Nuwara Eliya District,2008,3.77
Nuwara Eliya District,2009,3.77
Nuwara Eliya District,2010,3.77
Nuwara Eliya District,2011,3.77
Nuwara Eliya District,2012,3.77
Nuwara Eliya District,2013,3.77
Nuwara Eliya District,2014,3.77
Nuwara Eliya District,2015,3.77
Nuwara Eliya District,2016,3.77
Nuwara Eliya District,2017,3.77
Nuwara Eliya District,2018,3.77
Nuwara Eliya District,2019,3.77
Nuwara Eliya District,2020,3.77
Ampara District,2001,6.17
Ampara District,2002,6.17
Ampara District,2003,6.17
Ampara District,2004,6.17
Ampara District,2005,6.17
Ampara District,2006,6.17
Ampara District,2007,6.17
Ampara District,2008,6.17
Ampara District,2009,6.17
Ampara District,2010,6.17
Ampara District,2011,6.17
Ampara District,2012,6.17
Ampara District,2013,6.17
Ampara District,2014,6.17
Ampara District,2015,6.17
Ampara District,2016,6.17
Ampara District,2017,6.17
Ampara District,2018,6.17
Ampara District,2019,6.17
Ampara District,2020,6.17
Batticaloa District,2001,2.31
Batticaloa District,2002,2.31
Batticaloa District,2003,2.31
Batticaloa District,2004,2.31
Batticaloa District,2005,2.31
Batticaloa District,2006,2.31
Batticaloa District,2007,2.31
Batticaloa District,2008,2.31
Batticaloa District,2009,2.31
Batticaloa District,2010,2.31
Batticaloa District,2011,2.31
Batticaloa District,2012,2.31
Batticaloa District,2013,2.31
Batticaloa District,2014,2.31
Batticaloa District,2015,2.31
Batticaloa District,2016,2.31
Batticaloa District,2017,2.31
Batticaloa District,2018,2.31
Batticaloa District,2019,2.31
Batticaloa District,2020,2.31
Trincomalee District,2001,5.18
Trincomalee District,2002,5.18
Trincomalee District,2003,5.18
Trincomalee District,2004,5.18
Trincomalee District,2005,5.18
Trincomalee District,2006,5.18
Trincomalee District,2007,5.18
Trincomalee District,2008,5.18
Trincomalee District,2009,5.18
Trincomalee District,2010,5.18
Trincomalee District,2011,5.18
Trincomalee District,2012,5.18
Trincomalee District,2013,5.18
Trincomalee District,2014,5.18
Trincomalee District,2015,5.18
Trincomalee District,2016,5.18
Trincomalee District,2017,5.18
